Fila;Código;LATITUD;LONGITUD
2;1376;;
3;352;2,9575944;-75,28667
4;1384;;
5;800;;
6;746;;
7;833;;
8;074;2,9499493;-75,2918332
9;1757;;
10;1366;;
11;1329;;
12;1773;;
13;291;2,9235411;-75,2897185
14;1758;;
15;1295;;
16;808;;
17;473;;
18;1284;;
19;4911;;
20;767;;
21;809;;
22;1265;;
23;1104;;
24;694;;
25;810;;
26;1370;;
27;1718;;
28;4750;;
29;1034;;
30;1060;;
31;469;2,851839;-75,3368174
32;4864;;
33;432;2,9335449;-75,2871738
34;593;2,9240986;-75,2928705
35;859;;
36;988;;
37;661;;
38;4817;;
39;796;;
40;781;;
41;045;2,7718443;-75,2649779
42;1251;;
43;328;;
44;845;;
45;892;;
46;1249;;
47;535;;
48;567;;
49;806;;
50;795;;
51;1356;;
52;153;;
53;198;2,9379858;-75,2917451
54;253;;
55;605;;
56;829;;
57;807;;
58;1433;;
59;450;;
60;1351;;
61;1776;;
62;1141;;
63;478;;
64;544;;
65;579;;
66;775;;
67;018;;
68;799;;
69;1133;;
70;425;;
71;447;;
72;483;;
73;839;;
74;1338;;
75;1327;;
76;1170;;
77;1246;2,9323784;-75,2875936
78;427;2,935048;-75,2903422
79;472;;
80;509;;
81;646;2,9576728;-75,2813358
82;824;;
83;1139;;
84;193;;
85;631;;
86;679;;
87;887;;
88;119;;
89;627;2,9417378;-75,2543563
90;114;;
91;430;2,9449214;-75,2869807
92;013;2,9524168;-75,2909292
93;032;2,9392145;-75,2922053
94;265;2,7798714;-75,2618254
95;279;2,9387055;-75,2863258
96;448;;
97;620;2,7821772;-75,2828882
98;678;;
99;900;;
100;1713;;
101;277;2,9500392;-75,2894659
102;440;;
103;454;;
104;284;2,9379256;-75,2883962
105;308;;
106;320;2,9372698;-75,2868794
107;350;;
108;604;2,9277116;-75,2817115
109;629;2,9300172;-75,2682985
110;698;;
111;805;2,8524988;-75,3388182
112;130;;
113;1800;;
114;252;;
115;695;;
116;1026;;
117;103;2,8137394;-75,272419
118;1660;;
119;1739;;
120;1778;;
121;667;2,9365796;-75,2887681
122;714;;
123;764;;
124;935;;
125;1357;;
126;155;2,9329403;-75,2863334
127;797;;
128;912;2,9386909;-75,2902595
129;073;;
130;226;2,931998;-75,2718859
131;374;;
132;813;;
133;812;;
134;501;;
135;075;2,9458498;-75,2847315
136;1100;;
137;1337;;
138;1341;;
139;1499;;
140;1687;;
